staging_id,whisky_id,product_name,source_doc,source_entry_number,source_system,approval_status,nose_length,palate_length,finish_length,has_encoding_issue,has_duplicate_key,qa_decision,qa_reason,recommended_next_action
9,W000001,Aberlour A'Bunadh,uploaded_whisky_tasting_notes.txt,1,uploaded_document,staging_pending_review,32,33,12,False,False,PASS,,production_insert_candidate
10,W000002,Laphroaig The Cask Legacy,uploaded_whisky_tasting_notes.txt,2,uploaded_document,staging_pending_review,40,41,12,False,False,PASS,,production_insert_candidate
11,W000003,Glenlivet 15Yo French Oak,uploaded_whisky_tasting_notes.txt,3,uploaded_document,staging_pending_review,40,41,12,False,False,PASS,,production_insert_candidate
12,W000004,Talisker 10Y,uploaded_whisky_tasting_notes.txt,4,uploaded_document,staging_pending_review,27,28,12,False,False,PASS,,production_insert_candidate
13,W000005,Redbreast 12Y,uploaded_whisky_tasting_notes.txt,5,uploaded_document,staging_pending_review,28,29,12,False,False,PASS,,production_insert_candidate
14,W000006,Aberlour Casg Annamh,uploaded_whisky_tasting_notes.txt,6,uploaded_document,staging_pending_review,35,36,12,False,False,PASS,,production_insert_candidate
15,W000007,Macallan 12Yo Double Cask,uploaded_whisky_tasting_notes.txt,7,uploaded_document,staging_pending_review,40,41,12,False,False,PASS,,production_insert_candidate
16,W000008,Aberlour 14Y,uploaded_whisky_tasting_notes.txt,8,uploaded_document,staging_pending_review,27,28,12,False,False,PASS,,production_insert_candidate
17,W000009,Aberlour 12Y,uploaded_whisky_tasting_notes.txt,9,uploaded_document,staging_pending_review,27,28,12,False,False,PASS,,production_insert_candidate
18,W000010,Balvenie 14Y Caribbean Cask,uploaded_whisky_tasting_notes.txt,10,uploaded_document,staging_pending_review,42,43,12,False,False,PASS,,production_insert_candidate
19,W000011,Glengoyne 12Y,uploaded_whisky_tasting_notes.txt,11,uploaded_document,staging_pending_review,28,29,12,False,False,PASS,,production_insert_candidate
20,W000012,Deanston 12Y,uploaded_whisky_tasting_notes.txt,12,uploaded_document,staging_pending_review,27,28,12,False,False,PASS,,production_insert_candidate
21,W000013,Glenfiddich 15Yo Solera,uploaded_whisky_tasting_notes.txt,13,uploaded_document,staging_pending_review,38,39,12,False,False,PASS,,production_insert_candidate
22,W000014,Glen Scotia 10Y,uploaded_whisky_tasting_notes.txt,14,uploaded_document,staging_pending_review,30,31,12,False,False,PASS,,production_insert_candidate
23,W000015,Bowmore 12Y,uploaded_whisky_tasting_notes.txt,15,uploaded_document,staging_pending_review,26,27,12,False,False,PASS,,production_insert_candidate
24,W000016,Glenmorangie The Original 10Y,uploaded_whisky_tasting_notes.txt,16,uploaded_document,staging_pending_review,44,45,12,False,False,PASS,,production_insert_candidate
25,W000017,Glen Grant 10Yo,uploaded_whisky_tasting_notes.txt,17,uploaded_document,staging_pending_review,30,31,12,False,False,PASS,,production_insert_candidate
26,W000018,Auchentoshan 12Yo,uploaded_whisky_tasting_notes.txt,18,uploaded_document,staging_pending_review,32,33,12,False,False,PASS,,production_insert_candidate
27,W000019,Auchentoshan American Oak,uploaded_whisky_tasting_notes.txt,19,uploaded_document,staging_pending_review,40,41,12,False,False,PASS,,production_insert_candidate
28,W000020,Ardmore Legacy,uploaded_whisky_tasting_notes.txt,20,uploaded_document,staging_pending_review,29,30,12,False,False,PASS,,production_insert_candidate
29,W000021,Chivas Extra 13,uploaded_whisky_tasting_notes.txt,21,uploaded_document,staging_pending_review,30,31,12,False,False,PASS,,production_insert_candidate
30,W000022,Tamnavulin White Wine Cask,uploaded_whisky_tasting_notes.txt,22,uploaded_document,staging_pending_review,41,42,12,False,False,PASS,,production_insert_candidate
31,W000023,Tamnavulin Double Cask,uploaded_whisky_tasting_notes.txt,23,uploaded_document,staging_pending_review,37,38,12,False,False,PASS,,production_insert_candidate
32,W000024,Monkey Shoulder,uploaded_whisky_tasting_notes.txt,24,uploaded_document,staging_pending_review,30,31,12,False,False,PASS,,production_insert_candidate
33,W000025,Gladstone Axe American Oak,uploaded_whisky_tasting_notes.txt,25,uploaded_document,staging_pending_review,41,42,12,False,False,PASS,,production_insert_candidate
34,W000028,"Laphroaig 27Yo 57.4% 1980-2007 (Ob, 5 Oloroso Casks, 972 Bts)",uploaded_whisky_tasting_notes.txt,26,uploaded_document,staging_pending_review,76,77,12,False,False,PASS,,production_insert_candidate
35,W000030,Amrut Spectrum (Batch 1),uploaded_whisky_tasting_notes.txt,27,uploaded_document,staging_pending_review,39,40,12,False,False,PASS,,production_insert_candidate
36,W000031,Glengoyne 25Yo,uploaded_whisky_tasting_notes.txt,28,uploaded_document,staging_pending_review,29,30,12,False,False,PASS,,production_insert_candidate
37,W000036,Kavalan Solist Oloroso Sherry Cask,uploaded_whisky_tasting_notes.txt,29,uploaded_document,staging_pending_review,49,50,12,False,False,PASS,,production_insert_candidate
38,W000037,Aberlour A'Bunadh (Batch 33),uploaded_whisky_tasting_notes.txt,30,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
39,W000038,Aberlour A'Bunadh (Batch 37),uploaded_whisky_tasting_notes.txt,31,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
40,W000040,Laphroaig 25Yo,uploaded_whisky_tasting_notes.txt,32,uploaded_document,staging_pending_review,29,30,12,False,False,PASS,,production_insert_candidate
41,W000042,Aberlour A'Bunadh (Batch 40),uploaded_whisky_tasting_notes.txt,33,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
42,W000043,Yamazaki 18Yo,uploaded_whisky_tasting_notes.txt,34,uploaded_document,staging_pending_review,28,29,12,False,False,PASS,,production_insert_candidate
43,W000044,Aberlour A'Bunadh (Batch 49),uploaded_whisky_tasting_notes.txt,35,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
44,W000046,Yamazaki Sherry Cask (All Vintages),uploaded_whisky_tasting_notes.txt,36,uploaded_document,staging_pending_review,50,51,12,False,False,PASS,,production_insert_candidate
45,W000047,Aberlour A'Bunadh (Batch 56),uploaded_whisky_tasting_notes.txt,37,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
46,W000049,Compass Box Last Vatted Malt,uploaded_whisky_tasting_notes.txt,38,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
47,W000050,Amrut Greedy Angels (8Yo And 10Yo),uploaded_whisky_tasting_notes.txt,39,uploaded_document,staging_pending_review,49,50,12,False,False,PASS,,production_insert_candidate
48,W000052,Amrut Spectrum (All Batches),uploaded_whisky_tasting_notes.txt,40,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
49,W000053,Bowmore Springtide,uploaded_whisky_tasting_notes.txt,41,uploaded_document,staging_pending_review,33,34,12,False,False,PASS,,production_insert_candidate
50,W000056,Kavalan Solist Vinho Barrique,uploaded_whisky_tasting_notes.txt,42,uploaded_document,staging_pending_review,44,45,12,False,False,PASS,,production_insert_candidate
51,W000057,Aberlour A'Bunadh (Batch 53),uploaded_whisky_tasting_notes.txt,43,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
52,W000060,Aberlour A'Bunadh (Batch 39),uploaded_whisky_tasting_notes.txt,44,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
53,W000062,Karuizawa 1990 Sherry Butt,uploaded_whisky_tasting_notes.txt,45,uploaded_document,staging_pending_review,41,42,12,False,False,PASS,,production_insert_candidate
54,W000063,Kavalan Solist Px Cask,uploaded_whisky_tasting_notes.txt,46,uploaded_document,staging_pending_review,37,38,12,False,False,PASS,,production_insert_candidate
55,W000066,Amrut Spectrum 004 (Batch 2),uploaded_whisky_tasting_notes.txt,47,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
56,W000068,Kavalan Solist Manzanilla Cask,uploaded_whisky_tasting_notes.txt,48,uploaded_document,staging_pending_review,45,46,12,False,False,PASS,,production_insert_candidate
57,W000069,Aberlour A'Bunadh (Batch 44),uploaded_whisky_tasting_notes.txt,49,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
58,W000070,Aberlour A'Bunadh (Batch 52),uploaded_whisky_tasting_notes.txt,50,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
59,W000071,Kavalan Solist Amontillado Cask,uploaded_whisky_tasting_notes.txt,51,uploaded_document,staging_pending_review,46,47,12,False,False,PASS,,production_insert_candidate
60,W000072,Aberlour A'Bunadh (Batch 35),uploaded_whisky_tasting_notes.txt,52,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
61,W000077,Aberlour A'Bunadh (Batch 45),uploaded_whisky_tasting_notes.txt,53,uploaded_document,staging_pending_review,43,44,12,False,False,PASS,,production_insert_candidate
62,W000080,Laphroaig Cairdeas 2013 Port Wood,uploaded_whisky_tasting_notes.txt,54,uploaded_document,staging_pending_review,48,49,12,False,False,PASS,,production_insert_candidate
63,W000085,Amrut Px Sherry Single Cask 2696 (Lcbo),uploaded_whisky_tasting_notes.txt,55,uploaded_document,staging_pending_review,54,55,12,False,False,PASS,,production_insert_candidate
