source_review_id,source_slug,product_name,source_url,nose,palate,finish,conclusion,has_nose,has_palate,has_finish,source_verified,matched_master_whisky_id,match_status,import_recommendation
620,nc-nean-huntress-malted-teacake-2017-2026,Nc'Nean Huntress Malted Teacake (2017/2026),/whisky-reviews/nc-nean-huntress-malted-teacake-2017-2026,"Very malty and grain-forward, with fresh garden herbs and a crisp Granny Smith acidity. Freshly cut, slightly damp grass, a leafy peach, and the soft creaminess that the Belgian yeast strain quietly leaves behind in the background.","Malty at the core, immediately framed by honey and warm buttered toast. A spicy layer takes over – crema catalana with its caramelised crust – alongside a velvety, almost beery undertone from the Belgian ale yeast.","Medium length. The peach from the nose returns, riper now, carried by a spicy oak grip and a last toast note that lingers.","Flavour-wise it's genuinely fine – malty, buttery, with a charming Belgian-beer twist. But pricing-wise it's simply bananas: for €135 per litre I expect more depth or at least an age statement to justify the bill. What's left is a likeable Highland malt with a nice story – the 80 points are for the liquid; the rest you'll have to negotiate with your own bank statement.",True,True,True,True,,new_product,hold_new_product
619,dalmore-2007-2017-10-years-a-d-rattray,Dalmore 10 Years (2007/2017) - A.D. Rattray,/whisky-reviews/dalmore-2007-2017-10-years-a-d-rattray,"The PX finish announces itself immediately: cherry jam first, followed by a generous serving of plum and soft caramel. Underneath sits a clearly malty base that gives the whole thing substance. A flash of citrus appears, accompanied by a herbal note. Lemon balm all but insists on itself as the comparison. A sweet, spicy bouquet that makes you want more.","Oily and powerful as it lands on the palate – the 55.6% ABV shows honest presence here. But the fruit from the nose is suddenly nowhere to be found. Instead, the oak takes command, flanked by a hearty spiciness and a hint of caramel. The herbal note lingers as an echo. A mild bitterness sets in, joined by leathery, almost charred nuances. The playful PX promise turns into a dry, spicy oak performance.","Very warming, slightly alcoholic, and with a clear peppery sharpness. The bitterness from the opening stays put, clearly noticeable and no longer easy to ignore. A finish with posture, but one that offers little in the way of reconciliation.","This one just never really gets off the ground. The nose promises a fruity journey, the palate only delivers wood and bitterness. Tried once is enough, honestly didn't win me over. Shame about the PX finish that never makes it to the tongue.",True,True,True,True,,new_product,hold_new_product
618,littlemill-1991-2016-gordon-and-company,Littlemill (1991/2016) - Gordon & Company,/whisky-reviews/littlemill-1991-2016-gordon-and-company,"Floral and vegetal. Like stepping into a damp, warm greenhouse. Rhubarb and strawberries open up, accompanied by black pepper and a dry spiciness. Behind them, a basket of yellow fruits lurks, apricots above all, that never quite push to the foreground, instead staying quietly in the background. Dried grass and hay meadow, green tea and the faintest summer honey. Typical Littlemill markers, instantly recognisable. Well-balanced, almost fresh.","Powerful and fruity – here the yellow fruits finally step forward. Oily, melting, candied and syrupy. Ripe honeydew melon, rhubarb and gooseberry. Malty sweetness and a touch of shortbread. But the plant side stays loyal, a colourful bouquet of kitchen herbs with tarragon and plenty of peppermint. Robust spiciness, pepper and oak bring power. Juicy flower stems and an almost tangible freshness. Considerably herbal and powerful, with real complexity.","Extremely long and dry. Loads of pepper, peppermint tea and menthol. The mint practically rises into the nostrils. A touch of cinnamon and green wood on the tongue. The vegetal side takes over completely and lingers endlessly. Multilayered, with an oak power that's perfectly dosed after 25 years.","The oak brings a lot here, not blunt, but multilayered. The herbal, vegetal side dominates and won't appeal to everyone, but that's precisely what makes this Littlemill so exciting. If you're looking for floral Lowlanders with character, this is it. And the finish? Endless.",True,True,True,True,,new_product,hold_new_product
617,springbank-26-years-1991-2018-berry-bros-rudd,Springbank 26 Years (1991/2018) - Berry Bros. & Rudd,/whisky-reviews/springbank-26-years-1991-2018-berry-bros-rudd,"Waxy and mineral, unmistakably Springbank. Chalk, sand and a hint of camphor form the foundation. Above it, a radiant citrus freshness: lemon juice, mandarin and grapefruit, plus kiwi and summer blossoms. White pepper and blossom honey add subtle accents, a tiny point of eucalyptus flashes through. No great mystery, no surprise, instead, a Springbank that delivers exactly what you'd expect from a 1991 vintage, and at a high level.","First thought: delicious. Fresh, slightly fizzy, with a pleasant tingle on the sides of the tongue that betrays the cask strength. Loads of minerality: chalk, limestone, salicylate. Then citrus fruits: lemon, orange, quince. A hint of fish smokehouse shimmers through, salt and dry herbs like thyme. Vanillin and caramel provide subtle sweetness. Always a touch of pepper. In the tail, a shadow of peat dances, ashy, slightly drying, but never intrusive. Silky and noble despite the liveliness. Leaves you wanting more.","Long and mineral. Rain on chalk, limestone and citrus fruits carry the finish. Dried herbs and a fine smoke follow, lending an earthy depth. Slightly drying but harmonious. The peat remains as a gentle shadow right to the end. Very classic, very Springbank.","A bliss of balance. This Springbank is pure distillate enjoyment. No cask pushing to the foreground, just an ex-bourbon hogshead that gives the whisky centre stage. The minerality is impressive, the citrus freshness after 26 years almost surreal. Silky, noble and with that quintessential Campbeltown character that draws you in immediately. Not a showstopper, but a whisky to savour.",True,True,True,True,,new_product,hold_new_product
616,bunnahabhain-31-years-1987-2019-wemyss-malts,Bunnahabhain 31 Years (1987/2019) - Wemyss Malts,/whisky-reviews/bunnahabhain-31-years-1987-2019-wemyss-malts,"The name delivers on its promise: raisins, raisins and more raisins. Dark, ripe specimens, accompanied by heavy dark caramel and walnuts. Chocolate and dark honey lay a velvety layer on top, while sweet tobacco lurks gently in the background. Dried fruits, balanced spices and a hint of marzipan. Cognac-style rancio notes and a dusty old wine cellar betray the venerable age, along with well-worn leather and freshly split vanilla pods. Orange and ginger marmalade and warm chestnuts round out the picture. A minimal whiff of sulphur is present but nothing dramatic.","Soft and pleasant on the lips. The natural drinking strength of 44.7% is simply perfect. The mouthfeel is creamy, waxy yet full and firm. The dark raisins return, now almost black, joined by espresso and old-school sherry at its finest. Dried dates and figs, leather and a creamy sweetness from the cask. Chocolate orange biscuits, almond mousse, cardamom and cloves add spicy accents. A touch of oak balances the sweetness. Subtractive maturation has smoothed the edges, additive maturation has contributed the sherry sweetness. Perfectly balanced. Pulled from the cask at exactly the right moment.","Long, warm and wonderfully harmonious. The flavours already tasted take turns as they slowly fade. Fermented grapes lead, followed by forest berry jam, walnuts and robust oak spice. Black raisins and chocolate return, sweet tobacco and dried fruits hold on tenaciously. Nothing bitter, nothing jarring, simply round. Thanks to the residual sweetness, it remains only slightly dry right through to the end.","Would I have guessed Bunnahabhain in a blind tasting? Hard to say. This 31-year-old is so deep in sherry territory that the distillery DNA almost disappears. But that's exactly what makes it so fascinating. The balance between cask and distillate is dreamy, the natural drinking strength a blessing, and the complete absence of bitterness after 31 years in a butt borders on a small miracle. Raisin D'etre. They couldn't have named it better.",True,True,True,True,,new_product,hold_new_product
615,talisker-24-years-1953-gordon-macphail,Talisker 24 Years (1953) - Gordon & MacPhail,/whisky-reviews/talisker-24-years-1953-gordon-macphail,"Old sherry announces itself immediately. Ripe, purple fruit juice, wild overripe strawberries and dark raisins. Behind it, a wispy peat wind and a salty sea breeze reminiscent of the Isle of Skye. Old books, old leather and antique wooden furniture create a nostalgic atmosphere. Orange peel and chocolate orange bring a bittersweet citrus note, accompanied by soft ginger, minerals and sea salt. After the first sip, back in the nose: herbs, earth and moss, almost medicinal, like cold grass and a hint of stewed duck. An incredibly rich, multilayered bouquet where nothing fights for attention.","The entry is oily and fuller than the modest 43% would suggest. What stands out immediately is how clean this whisky tastes, a legacy of old-world distillation. Stewed red dates, herbs and a gentle peat smoke form the foundation. Then come red berry jam and ripe grapes, dunnage notes and dusty floor. Brown cake and raw cane sugar dominate the sweetness. No cream, no heaviness. Oyster shell and a subtle salinity add maritime accents. After chewing, the smoke builds slowly, lending a spicy depth to the whole experience.","This is where the old Talisker shows its true greatness. The smoke builds gradually, the flavours grow and grow. Gunsmoke and old leather, herbs and peat. Waxed wild strawberry and raspberry appear, impossibly complex. Old grease gun, salinity, black pepper and sea salt. The retronasal smokiness is impressive. A finish that refuses to end, telling stories from another time.","A whisky like a time machine. Distilled in 1953, coal-fired, with their own floor maltings – you can taste all of it. The low 43% don't hurt at all; quite the opposite: the complexity that emerges at drinking strength is remarkable. If you ever get the chance to try something like this, take it. These are moments you don't forget.",True,True,True,True,,new_product,hold_new_product
614,brigantia-10-years-2014-2024-chardonnay-single-cask-distillery-exclusive,Brigantia 10 Years (2014/2024) Chardonnay Single Cask Distillery Exclusive,/whisky-reviews/brigantia-10-years-2014-2024-chardonnay-single-cask-distillery-exclusive,"Oak announces itself immediately and with confidence, followed by a massive helping of red grape and raisin. Blood orange brings a tart freshness, Brazil nut an earthy depth. Yeasty notes and a tannic undertone complete the first impression. After the first sip, the surprise: intense dark caramel forces its way into the picture and transforms the bouquet entirely.","Bone-dry – there's no other way to put it. Dried fruit and a lovely sweetness push back, with apricot and plum bringing fruit depth. A hefty dose of wood suggests a small cask – but it wasn't. Dark caramel slides in and lends the flavour a spicy weight that defines this single malt's character.","Nutty, extremely nutty. The dryness returns, paired with strong tannins that hold nothing back. Black pepper and old leather emerge, alongside a touch of sour cherry that offers a fruity counterpoint right at the end. Long and powerful – this finish stays.","Definitely one of the more unusual kind – I've rarely had such a dry whisky in my glass. A touch too much oak, sure, but the aromas behind it come through surprisingly well. And here's the insider tip: try this with chocolate, dark or milk, doesn't matter. Or poured over vanilla ice cream. Trust me!",True,True,True,True,,new_product,hold_new_product
613,brigantia-5-years-2018-2023-cognac-single-cask,Brigantia 5 Years (2018/2023) Cognac Single Cask,/whisky-reviews/brigantia-5-years-2018-2023-cognac-single-cask,"A bountiful fruit basket greets with open arms: apricot and peach as dried fruits, plus a fruity-malty warmth that puts an instant smile on your face. Vanilla and a generous helping of butter biscuit round things off, while pear, white grape, and honey hum quietly in the background. No need for philosophising – just clean, intense, and simply beautiful.","Grape sugar opens proceedings, extremely delicate and with a grace that recalls the Redbreast 12 Cask Strength – high praise indeed. Already dry, but never parching. Honey sweetness and nutmeg dance arm in arm, joined by white peach in all its elegance. Wood is present, discreet and supportive. In between, a fine malt crackle that says: here speaks a classic, masterfully crafted single malt. Clean, but with character.","Properly powerful, with a grape sweetness that takes you by surprise. Extremely soft woodiness spreads out – entirely free of tannins, entirely free of bitterness, just perfectly balanced. Warming, with white pepper as a spicy accent. Remarkably long for an unpeated whisky – so long you can practically chew on the aftertaste.","What can I say – this one is fantastic! Serious power, yet balanced and delicate. Full of character, yet elegant. You can practically taste an evening stroll along Lake Constance, when the golden light falls across the water and everything just feels right. One of my absolute favourites.",True,True,True,True,,new_product,hold_new_product
609,st-kilian-sonderabfullung-ex-apricot-brandy,St. Kilian Sonderabfüllung ex Apricot Brandy,/whisky-reviews/st-kilian-sonderabfullung-ex-apricot-brandy,"From the very first swirl, the glass radiates a bountiful fruit basket – ripe peaches take centre stage, accompanied by a juicy orange note. Behind it, a fine honey sweetness shimmers through, lending warmth and depth to the bouquet. The apricot brandy origin of the cask makes itself subtly known, giving the whole aroma an inviting, summery-fruity quality.","Creamy-soft and pleasantly sweet, an intense apricot note glides across the tongue, directly reflecting the cask influence. Ripe raspberries join in, adding a berry-fresh dimension. The texture is velvety and engaging – proof that even with just four years of maturation, a convincing mouthfeel is well within reach.","Fresh and brief, this single malt takes its leave – herbal notes lead the way before oak and a hint of charred wood follow. A short but honest conclusion that redirects focus back to the preceding fruit aromas.",The Sonderabfüllung ex Apricot Brandy surprises with power and character without ever drifting into bitterness. The arc from sweet fruit to spicy depth is genuinely enjoyable and shows that St. Kilian can deliver with unusual casks too – a fruity moment of pleasure that leaves you wanting more.,True,True,True,True,,new_product,hold_new_product
612,st-kilian-ex-tokaji-aszu-single-cask,St. Kilian ex Tokaji Aszú Single Cask (2019/2026),/whisky-reviews/st-kilian-ex-tokaji-aszu-single-cask,"The nose opens like a promise: fruit sweetness settles gently in the air, carried by a whisper of vinosity that recalls sun-drenched Hungarian vineyards. Blossom honey weaves a golden thread through the bouquet – warm, inviting, and with a tenderness that nearly makes you forget the heavy peat beneath.","Oily and bold, a different truth emerges: the whisky announces its presence with conviction. White pepper dances across the tongue, accompanied by a prickly, almost electric texture that keeps every sip alive. Beneath it, charred notes smoulder like the last embers of a campfire – dark, warm, and with an intensity that gets under your skin.","Voluminous and with a velvety nuttiness, the finale unfolds and lingers like a final chord in the air. Sweetness and milk chocolate melt into an afterglow of remarkable warmth – as if savouring a piece of chocolate by the fireplace while the autumn wind sweeps across the Franconian hills outside.","Not quite my world, but remarkably approachable for a peated whisky. The marriage of Tokaji sweetness and peat smoke is like an encounter between two worlds that were never meant to meet, yet harmonise surprisingly well. A glass in which Hungary and Franconia quietly tell a beautiful story together.",True,True,True,True,,new_product,hold_new_product
