source_name,source_id,source_slug,product_name,distillery_name,bottler_name,brand_name,country,region,age,abv,product_type,source_url,triage_status,approval_status,import_recommendation
Whisky Edition,,,,,,,,,0,48.5,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,10,55.6,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,25,52.8,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,26,44.9,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,31,44.7,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,24,43.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,10,53.2,,,independent_bottler_or_special_release,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,5,58.0,,,independent_bottler_or_special_release,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,4,50.7,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,6,58.8,,,independent_bottler_or_special_release,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,54.6,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,6,55.5,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,25,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,35,48.1,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,11,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,12,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,9,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,40.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,8,41.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,5,43.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,10,48.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,10,61.7,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,4,58.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,10,48.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,19,53.9,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,15,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,57.8,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,43.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,15,43.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,11,43.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,17,56.5,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,59.3,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,9,50.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,15,55.7,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,11,57.4,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,21,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,21,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,30,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,21,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,11,47.5,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,25,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,25,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,25,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,21,43.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,53.4,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,46.0,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,59.7,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,51.1,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,12,57.8,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,10,57.2,,,likely_new_product,pending_review,create_new_staging_record
Whisky Edition,,,,,,,,,0,43.0,,,likely_new_product,pending_review,create_new_staging_record
